@relation WeatherForecast
@attribute WindSpeedKmph numeric
@attribute WindDirection360 {Variable,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360}
@attribute RelativeHumidityPercent numeric
@attribute AmosphericPressureMb numeric
@attribute DewPointCelcius numeric
@attribute TemperatureCelcius numeric
@data
7,110,16,1012,2,31
19,320,14,1016,-2,28
17,310,35,1013,11,28
9,60,26,1013,7,28
6,Variable,28,1016,6,26
15,10,50,1016,10,21
24,300,60,1015,11,19
17,290,47,1010,12,24
11,60,22,1010,7,31
13,80,24,1013,7,30
4,Variable,17,1016,2,30
9,80,30,1016,8,27
20,350,50,1015,11,22
20,330,48,1011,14,26
22,290,37,1014,11,27
9,Variable,20,1014,5,30
9,50,23,1017,3,26
15,320,29,1017,2,21
35,300,61,1005,14,22
9,50,19,1003,8,35
9,50,21,1009,8,33
4,Variable,16,1009,5,34
7,270,24,1014,7,30
22,330,24,1013,7,30
20,330,18,1012,4,31
7,290,15,1012,2,32
4,Variable,30,1015,9,28
19,360,29,1018,9,29
26,320,24,1017,8,31
11,280,20,1014,7,33
24,320,22,1010,8,32
11,360,16,1011,6,35
6,100,23,1014,9,33
13,310,23,1015,10,34
26,330,15,1015,5,35
17,300,14,1015,4,35
20,300,12,1014,2,35
13,310,15,1013,4,34
15,300,36,1010,16,33
15,300,28,1011,14,35
9,340,26,1013,13,35
4,Variable,22,1012,10,35
19,Variable,37,1010,11,27
4,Variable,14,1005,5,37
13,320,19,1008,7,34
19,320,31,1012,13,32
7,10,25,1011,14,37
22,50,17,1011,9,38
15,100,25,1012,12,35
11,360,40,1012,13,28
17,300,33,1011,11,29
20,300,29,1011,12,32
15,180,20,1004,8,34
11,60,26,1003,10,32
6,Variable,33,1008,11,29
24,350,29,1011,11,31
6,Variable,33,1010,13,31
20,280,35,1011,12,29
28,10,25,1012,7,29
6,120,25,1013,8,30
11,330,24,1014,7,30
24,350,31,1013,11,30
24,330,37,1010,13,29
19,310,29,1011,10,30
15,320,31,1013,13,32
13,310,37,1016,12,28
11,310,44,1015,12,25
15,320,47,1012,12,24
19,310,32,1014,10,28
20,300,35,1012,11,28
11,330,42,1013,14,28
13,200,54,1013,15,25
11,Variable,27,1013,8,29
11,30,40,1014,13,28
19,310,32,1013,8,26
19,280,39,1011,10,25
15,290,32,1011,8,26
37,230,56,1013,11,20
19,300,44,1011,9,22
20,320,73,1010,12,17
13,290,49,1004,9,20
15,200,24,1003,5,27
22,250,22,1009,6,30
19,260,28,1007,8,28
20,20,50,1012,13,24
24,310,27,1016,9,30
13,80,27,1012,9,30
20,70,73,1014,14,19
7,20,47,1013,13,25
19,360,50,1011,12,23
28,270,53,1011,12,22
30,330,64,1008,13,20
26,270,88,1010,13,15
11,320,30,1015,6,25
9,350,32,1013,9,27
20,330,50,1011,12,23
22,310,44,1006,11,24
22,160,13,1006,-1,31
13,320,26,1012,7,28
19,310,24,1015,5,27
20,320,24,1016,4,26
11,290,23,1014,5,28
9,140,21,1012,3,27
7,Variable,26,1016,5,26
17,260,31,1015,5,23
15,160,63,1008,7,14
9,320,39,1014,3,17
19,260,72,1010,8,13
28,260,25,1009,1,22
37,230,11,1008,-5,28
11,240,64,1015,13,20
24,290,20,1010,2,27
11,70,22,1011,5,29
13,310,18,1014,0,26
9,310,22,1013,1,24
22,330,29,1011,2,21
22,250,24,1003,5,27
9,320,25,1011,3,24
22,230,14,1007,-2,28
15,320,22,1011,1,24
20,300,15,1014,-4,24
15,310,14,1013,-6,23
19,310,16,1014,-6,21
6,110,35,1013,3,19
2,Variable,34,1013,2,18
13,360,46,1014,6,18
20,280,42,1015,4,17
30,10,55,1016,7,16
13,100,26,1021,-1,19
22,20,55,1016,5,14
30,300,77,1007,8,12
35,290,63,1008,8,15
19,70,60,1014,13,21
11,80,60,1019,11,19
13,310,35,1013,5,21
13,80,43,1016,5,18
4,Variable,63,1015,6,13
4,Variable,42,1016,2,15
28,330,47,1012,1,12
11,90,50,1007,1,11
2,320,44,1014,0,12
17,320,71,1019,2,7
26,290,87,1009,4,6
2,Variable,35,1006,3,19
20,120,26,1020,-1,19
2,Variable,32,1022,0,17
6,100,63,1013,7,14
17,290,30,1014,1,19
17,320,58,1018,3,11
24,300,66,1011,3,9
20,240,24,1001,-1,20
17,290,64,1018,-7,-1
26,280,93,1013,-5,-4
13,170,44,999,-1,11
6,190,47,1011,0,11
13,120,82,1004,6,9
24,70,76,1003,5,9
7,150,62,1001,2,9
17,90,93,1006,-3,-2
15,90,50,1028,-12,-3
24,320,63,1026,-11,-5
13,290,74,1017,-6,-2
24,270,86,1015,-3,-1
37,100,87,1009,-1,1
9,340,60,1018,-5,2
20,270,100,1007,0,0
6,150,82,1011,6,9
17,80,93,1019,6,7
11,250,87,1016,3,5
9,60,81,1008,4,7
9,70,76,1012,1,5
15,260,50,1014,-1,9
19,80,47,1013,2,13
19,90,76,1021,5,9
15,70,76,1019,6,10
15,80,70,1021,-3,2
15,310,69,1019,-6,-1
24,230,71,1001,2,7
13,80,66,1014,0,6
6,280,27,1013,-11,7
24,200,55,1005,5,14
22,70,88,1011,8,10
6,80,82,1019,5,8
13,80,82,1020,6,9
13,80,87,1021,2,4
15,120,87,1022,0,2
19,290,87,1018,0,2
19,200,44,1005,2,14
13,260,57,1009,0,8
20,190,76,999,5,9
2,270,87,1003,5,7
17,90,87,1001,6,8
17,100,87,1014,1,3
13,80,81,1020,-1,2
30,290,87,1013,-1,1
11,80,87,1005,5,7
11,70,93,1004,7,8
17,100,76,1012,3,7
13,90,76,1013,2,6
9,320,66,1016,1,7
2,100,82,1012,6,9
7,100,93,1012,7,8
19,90,81,1010,4,7
17,80,71,1017,2,7
9,150,87,1024,3,5
17,70,93,1024,5,6
11,80,58,1020,2,10
11,320,51,1018,2,12
11,90,54,1016,2,11
11,70,51,1020,2,12
9,320,41,1027,0,13
11,290,55,1027,4,13
7,90,76,1024,4,8
17,290,87,1018,6,8
6,280,58,1022,1,9
13,270,76,1019,3,7
4,360,82,1009,7,10
13,30,82,1007,8,11
13,130,46,1012,7,19
11,270,40,1015,6,20
15,80,56,1017,9,18
9,100,59,1020,7,15
13,140,48,1016,5,16
17,130,57,1008,0,8
22,320,76,1010,1,5
7,90,77,1012,7,11
15,330,55,1013,5,14
19,310,77,1012,10,14
9,80,29,1015,4,23
6,240,33,1015,5,22
11,140,31,1013,6,24
19,300,77,1018,12,16
22,60,53,1015,12,22
15,190,24,1015,5,27
11,90,34,1014,7,24
11,230,32,1017,7,25
7,20,38,1018,6,21
30,240,35,1012,4,20
24,210,27,1008,3,23
15,190,15,1012,-3,26
7,60,21,1015,2,26
6,30,27,1017,4,24
4,Variable,29,1018,3,22
2,Variable,38,1019,6,21
17,10,44,1019,9,22
19,310,38,1017,8,23
11,330,39,1015,9,24
22,260,16,1015,-1,27
4,Variable,21,1016,3,27
2,Variable,27,1019,3,23
20,320,23,1015,1,23
4,Variable,15,1015,-6,22
20,330,29,1019,4,23
7,60,29,1021,4,23
9,340,36,1023,6,22
13,360,56,1022,8,17
20,320,59,1019,7,15
28,340,46,1015,6,18
26,320,44,1013,9,22
7,90,26,1011,5,26
6,Variable,27,1014,4,24
20,330,39,1017,9,24
7,60,64,1019,13,20
30,300,68,1014,13,19
13,220,36,1007,8,24
13,60,39,1009,9,24
7,10,44,1015,11,24
11,270,41,1015,10,24
13,60,42,1009,11,25
19,350,37,1008,11,27
19,300,17,1011,2,30
4,Variable,12,1014,-1,32
17,300,18,1015,0,26
22,320,30,1016,6,25
19,330,39,1017,10,25
19,320,32,1016,10,28
26,360,39,1015,9,24
6,20,10,1013,-4,31
13,140,14,1014,-1,29
9,90,23,1017,5,28
4,Variable,28,1017,8,28
24,310,32,1014,8,26
6,Variable,23,1012,4,27
17,320,20,1013,2,27
11,320,28,1013,7,27
15,330,21,1017,3,27
4,Variable,25,1019,7,29
6,Variable,31,1017,10,29
17,310,29,1014,9,29
17,320,25,1012,7,29
20,360,27,1014,9,30
7,30,15,1014,3,33
11,Variable,18,1015,4,31
7,260,22,1013,5,29
11,330,23,1013,4,27
15,340,28,1015,5,25
13,330,23,1016,3,26
22,320,32,1014,8,26
28,320,35,1011,11,28
22,310,35,1009,11,28
39,300,58,1008,17,26
9,40,16,1011,5,34
11,150,27,1016,9,30
22,340,34,1014,9,26
28,340,32,1013,9,27
13,320,30,1014,8,27
4,Variable,25,1014,7,29
7,Variable,21,1016,4,28
30,320,45,1015,14,27
20,350,21,1012,8,33
24,320,22,1014,8,32
17,320,25,1015,9,31
4,Variable,27,1015,8,29
19,340,29,1016,9,29
9,Variable,40,1016,14,29
15,340,31,1011,12,31
24,330,32,1010,10,28
26,320,42,1012,13,27
26,330,69,1013,16,22
28,300,60,1015,13,21
26,320,52,1016,9,19
30,310,47,1012,11,23
26,320,35,1008,13,30
9,330,26,1008,10,32
6,40,18,1010,5,32
13,300,22,1012,7,31
22,330,19,1013,5,31
7,Variable,27,1009,8,29
26,320,45,1007,13,26
15,320,32,1005,10,28
19,330,57,1008,16,25
9,330,22,1012,8,32
7,120,24,1016,7,30
13,300,28,1016,7,27
15,130,57,1013,12,21
7,310,73,1013,13,18
19,320,28,1010,8,28
22,300,39,1009,10,25
17,270,20,1007,5,30
28,250,16,1009,3,32
30,200,25,1013,7,29
17,270,24,1012,7,30
19,300,29,1010,9,29
9,130,14,1013,0,30
6,290,26,1018,6,27
22,360,37,1019,10,26
22,320,22,1017,5,29
9,110,26,1018,5,26
13,20,22,1020,1,24
17,340,25,1018,2,23
20,310,44,1014,11,24
20,330,26,1010,7,28
19,310,27,1016,9,30
17,350,22,1015,7,31
2,Variable,21,1016,3,27
13,330,26,1016,4,25
17,330,46,1015,9,21
7,60,38,1009,8,23
35,200,26,1008,6,27
7,360,27,1012,9,30
17,70,28,1017,7,27
7,90,26,1020,6,27
2,Variable,24,1019,5,27
11,130,27,1016,4,24
9,310,30,1018,2,20
24,320,35,1015,4,20
20,320,44,1015,10,23
11,350,64,1016,11,18
24,290,60,1011,12,20
7,40,30,1011,8,27
11,40,26,1014,7,28
11,150,14,1016,-1,29
11,250,44,1017,10,23
2,Variable,27,1017,4,24
6,320,25,1018,1,22
6,Variable,30,1020,1,19
15,330,32,1021,1,18
24,300,42,1019,3,16
19,310,26,1014,-2,18
15,280,42,1013,3,16
28,310,77,1007,7,11
20,90,45,1006,5,17
4,Variable,45,1017,5,17
24,260,67,1014,6,12
13,80,63,1006,8,15
13,300,55,1008,4,13
4,Variable,43,1008,5,18
17,310,54,1018,1,10
20,290,41,1019,1,14
11,300,15,1015,-11,16
6,Variable,54,1016,3,12
28,290,76,1012,4,8
11,100,63,1006,9,16
19,30,40,1014,6,20
13,330,27,1020,2,22
30,310,41,1013,-1,12
19,10,36,1012,-2,13
26,310,76,1007,6,10
26,260,28,1004,0,19
20,110,27,1012,1,21
7,Variable,28,1014,0,19
13,260,24,1015,-3,18
22,340,59,1015,5,13
17,230,63,1008,6,13
9,30,87,1011,6,8
19,70,28,1014,0,19
7,80,32,1015,1,18
4,Variable,48,1017,5,16
24,310,49,1015,7,18
2,Variable,29,1015,3,22
4,Variable,36,1016,6,22
17,80,51,1019,5,15
11,110,33,1022,-3,13
24,320,39,1018,-6,7
30,300,75,1011,-2,2
20,230,47,1005,0,11
